race_id,surface,distance,frame,rank,time_sec,time_diff
202405010310,芝,1400,5,14,81.5,1.5999999999999943
202405010310,芝,1400,4,15,82.0,2.0999999999999943
202405010311,芝,2400,5,1,143.6,0.0
202405010311,芝,2400,7,2,143.7,0.09999999999999432
202405010311,芝,2400,8,3,144.0,0.4000000000000057
202405010311,芝,2400,8,4,144.4,0.8000000000000114
202405010311,芝,2400,3,5,144.6,1.0
202405010311,芝,2400,6,6,144.6,1.0
202405010311,芝,2400,5,7,144.6,1.0
202405010311,芝,2400,7,8,144.7,1.0999999999999943
202405010311,芝,2400,1,9,144.8,1.200000000000017
202405010311,芝,2400,2,10,146.0,2.4000000000000057
202405010311,芝,2400,4,11,147.7,4.099999999999994
202405010405,芝,1800,7,1,109.5,0.0
202405010405,芝,1800,1,2,109.7,0.20000000000000284
202405010405,芝,1800,7,3,110.0,0.5
202405010405,芝,1800,3,4,110.1,0.5999999999999943
202405010405,芝,1800,1,5,110.2,0.7000000000000028
202405010405,芝,1800,5,6,110.3,0.7999999999999972
202405010405,芝,1800,2,7,110.3,0.7999999999999972
202405010405,芝,1800,5,8,110.5,1.0
202405010405,芝,1800,6,9,110.5,1.0
202405010405,芝,1800,2,10,110.7,1.2000000000000028
202405010405,芝,1800,8,11,110.8,1.2999999999999972
202405010405,芝,1800,4,12,111.3,1.7999999999999972
202405010405,芝,1800,3,13,111.3,1.7999999999999972
202405010405,芝,1800,8,14,111.4,1.9000000000000057
202405010405,芝,1800,6,15,111.8,2.299999999999997
202405010405,芝,1800,4,16,113.7,4.200000000000003
202405010406,芝,1600,2,1,93.9,0.0
202405010406,芝,1600,8,2,94.3,0.3999999999999915
202405010406,芝,1600,3,3,94.8,0.8999999999999915
202405010406,芝,1600,6,4,95.0,1.0999999999999943
202405010406,芝,1600,8,5,95.1,1.1999999999999886
202405010406,芝,1600,4,6,95.3,1.3999999999999915
202405010406,芝,1600,5,7,95.6,1.6999999999999886
202405010406,芝,1600,4,8,95.7,1.7999999999999972
202405010406,芝,1600,2,9,95.7,1.7999999999999972
202405010406,芝,1600,3,10,95.8,1.8999999999999915
202405010406,芝,1600,7,11,96.1,2.1999999999999886
202405010406,芝,1600,1,12,96.1,2.1999999999999886
202405010406,芝,1600,5,13,96.2,2.299999999999997
202405010406,芝,1600,7,14,97.7,3.799999999999997
202405010406,芝,1600,6,15,102.6,8.699999999999989
202405010409,芝,2400,3,1,146.9,0.0
202405010409,芝,2400,5,2,147.3,0.4000000000000057
202405010409,芝,2400,2,3,147.4,0.5
202405010409,芝,2400,4,4,147.6,0.6999999999999886
202405010409,芝,2400,1,5,147.7,0.799999999999983
202405010409,芝,2400,6,6,147.8,0.9000000000000057
202405010409,芝,2400,8,7,147.9,1.0
202405010409,芝,2400,7,8,148.0,1.0999999999999943
202405010409,芝,2400,8,9,149.3,2.4000000000000057
202405010411,芝,1600,1,1,92.1,0.0
202405010411,芝,1600,3,2,92.3,0.20000000000000284
202405010411,芝,1600,4,3,92.3,0.20000000000000284
202405010411,芝,1600,1,4,92.3,0.20000000000000284
202405010411,芝,1600,6,5,92.4,0.30000000000001137
202405010411,芝,1600,3,6,92.5,0.4000000000000057
202405010411,芝,1600,8,7,92.6,0.5
202405010411,芝,1600,2,8,92.7,0.6000000000000085
202405010411,芝,1600,5,9,92.7,0.6000000000000085
202405010411,芝,1600,7,10,92.8,0.7000000000000028
202405010411,芝,1600,8,11,92.8,0.7000000000000028
202405010411,芝,1600,4,12,93.2,1.1000000000000085
202405010411,芝,1600,2,13,93.5,1.4000000000000057
202405010411,芝,1600,7,14,94.0,1.9000000000000057
202405010411,芝,1600,5,15,94.6,2.5
202405010411,芝,1600,6,16,95.0,2.9000000000000057
202405010505,芝,1400,1,1,81.6,0.0
202405010505,芝,1400,6,2,82.1,0.5
202405010505,芝,1400,3,3,82.2,0.6000000000000085
202405010505,芝,1400,5,4,82.3,0.7000000000000028
202405010505,芝,1400,2,5,82.4,0.8000000000000114
202405010505,芝,1400,4,6,82.4,0.8000000000000114
202405010505,芝,1400,2,7,82.4,0.8000000000000114
202405010505,芝,1400,4,8,82.5,0.9000000000000057
202405010505,芝,1400,1,9,82.6,1.0
202405010505,芝,1400,6,10,82.7,1.1000000000000085
202405010505,芝,1400,7,11,82.9,1.3000000000000114
202405010505,芝,1400,5,12,82.9,1.3000000000000114
202405010505,芝,1400,7,13,82.9,1.3000000000000114
202405010505,芝,1400,3,14,83.3,1.7000000000000028
202405010505,芝,1400,8,15,83.4,1.8000000000000114
202405010505,芝,1400,8,16,84.5,2.9000000000000057
202405010506,芝,1800,4,1,107.1,0.0
202405010506,芝,1800,3,2,107.6,0.5
202405010506,芝,1800,7,3,107.8,0.7000000000000028
202405010506,芝,1800,4,4,107.9,0.8000000000000114
202405010506,芝,1800,1,5,108.0,0.9000000000000057
202405010506,芝,1800,7,6,108.1,1.0
202405010506,芝,1800,6,7,108.2,1.1000000000000085
202405010506,芝,1800,8,8,108.2,1.1000000000000085
202405010506,芝,1800,5,9,108.2,1.1000000000000085
202405010506,芝,1800,1,10,108.3,1.2000000000000028
202405010506,芝,1800,6,11,108.5,1.4000000000000057
202405010506,芝,1800,2,12,108.5,1.4000000000000057
202405010506,芝,1800,2,13,108.6,1.5
202405010506,芝,1800,3,14,108.6,1.5
202405010506,芝,1800,5,15,108.8,1.7000000000000028
202405010506,芝,1800,8,16,109.0,1.9000000000000057
202405010507,芝,1400,4,1,80.9,0.0
202405010507,芝,1400,6,2,81.4,0.5
202405010507,芝,1400,8,3,81.5,0.5999999999999943
202405010507,芝,1400,5,4,81.8,0.8999999999999915
202405010507,芝,1400,7,5,82.0,1.0999999999999943
202405010507,芝,1400,5,6,82.0,1.0999999999999943
202405010507,芝,1400,4,7,82.1,1.1999999999999886
202405010507,芝,1400,2,8,82.3,1.3999999999999915
