race_id,race_name,class,surface,horse_name,age_sex,n_past_races,odds,popularity,field_size,act_rank,score,frame,weight_carried,sire,plus_factors,minus_factors,n_minus,odds_bucket
202508040710,東山S,3勝クラス,芝,シュヴェルトライテ,牝6,5,50.4,11,12,3,1.0,4,53.0,,"training_rank,second_start",,0,30倍以上
202508040711,京都2歳S,重賞,芝,ジャスティンビスタ,牡2,1,25.0,9,11,1,6.375,7,56.0,サートゥルナーリア,"same_course,training_rank,prev_run_bonus,win_count",,0,15〜30倍
202508040711,京都2歳S,重賞,芝,ゴーイントゥスカイ,牡2,1,6.2,3,11,3,5.875,8,56.0,コントレイル,"training_rank,prev_run_bonus,win_count,bloodline_distance",,0,3〜7倍
202508040711,京都2歳S,重賞,芝,アスクエジンバラ,牡2,4,49.9,10,11,2,4.875,3,56.0,リオンディーズ,"training_rank,prev2_run_bonus,win_count,bloodline_distance,pace_fit","distance_up,post_surface",2,30倍以上
202508040712,3歳以上2勝クラス,2勝クラス,芝,アンビバレント,牡5,5,25.9,7,16,3,3.0,6,58.0,,"same_course,training_rank",,0,15〜30倍
202508040810,花園S,3勝クラス,ダ,レーウィン,セ4,5,62.2,12,16,3,-2.0,7,58.0,,training_rank,distance_up,1,30倍以上
202508040811,オータムリーフS,OP,ダ,ノーブルロジャー,牡4,5,12.5,4,16,3,2.25,4,58.0,パレスマリス,"training_rank,prev_run_bonus",,0,7〜15倍
202508040812,京阪杯,重賞,芝,エーティーマクフィ,牡6,5,11.7,7,17,1,6.875,5,57.0,マクフィMakfi,"training_rank,prev2_run_bonus,win_count,pace_fit",,0,7〜15倍
202508040812,京阪杯,重賞,芝,ヨシノイースター,牡7,5,8.2,4,17,3,6.0,2,57.0,ルーラーシップ,"training_rank,grade_history,inner_post_senko,win_count",,0,7〜15倍
202509050111,鳴尾記念,重賞,芝,マテンロウレオ,牡6,5,7.5,3,14,3,5.6,2,57.0,ハーツクライ,"training_rank,second_start,distance_drop,grade_history,pace_fit","long_rest,post_surface",2,7〜15倍
202509050208,3歳以上2勝クラス,2勝クラス,芝,ダンツエスプリ,牡6,5,23.3,6,8,3,4.75,5,58.0,,"training_rank,second_start,rising_trend,distance_drop",,0,15〜30倍
202509050209,豊中特別,2勝クラス,ダ,ダディーズトリップ,牡9,5,53.2,11,13,3,2.0,5,58.0,ドリームジャーニー,"training_rank,second_start",,0,30倍以上
202509050209,豊中特別,2勝クラス,ダ,タマモキャリコ,セ4,5,4.6,2,13,1,1.0,4,58.0,,training_rank,,0,3〜7倍
202509050212,3歳以上2勝クラス,2勝クラス,芝,メイショウカイト,牝7,5,12.0,6,17,3,0.125,1,56.0,ラブリーデイ,"training_rank,rising_trend,prev_run_bonus,prev2_run_bonus",seasonal_sex,1,7〜15倍
202509050311,リゲルS,OP,芝,ダノンエアズロック,牡4,5,24.3,6,13,3,3.25,2,57.0,モーリス,"training_rank,rising_trend,distance_drop,bloodline_distance",long_rest,1,15〜30倍
202509050408,3歳以上2勝クラス,2勝クラス,ダ,クーデール,牝3,4,16.9,6,11,1,3.25,6,54.0,,"training_rank,prev2_run_bonus,win_count","local_prev,seasonal_sex",2,15〜30倍
