rid,cls,偏差値
202405050211,重賞,68.26578575940516
202405050212,2勝クラス,54.7385561324056
202405050301,未勝利,46.11475827066065
202405050302,未勝利,40.77125362049426
202405050303,未勝利,45.08204174675592
202405050304,未勝利,47.58985848090715
202405050307,1勝クラス,42.99039454610547
202405050308,2勝クラス,57.04978126595347
202405050309,1勝クラス,58.19370526604444
202405050310,3勝クラス,56.97329517930353
202405050311,重賞,75.8884031965684
202405050312,2勝クラス,57.198526375705555
202405050401,未勝利,46.807855886237675
202405050402,未勝利,46.68869000897193
202405050403,未勝利,45.63855519119976
202405050406,1勝クラス,45.16180627182476
202405050407,2勝クラス,52.37146167050505
202405050408,2勝クラス,59.12189767861752
202405050409,3勝クラス,62.198518062357536
202405050410,3勝クラス,64.81752503004765
202405050411,OP,62.975884077292804
202405050412,1勝クラス,48.467272279393974
202405050501,未勝利,48.81096009087366
202405050502,未勝利,44.47591677769865
202405050503,未勝利,46.7023865828518
202405050506,1勝クラス,53.03663542329805
202405050507,1勝クラス,45.878452559067306
202405050508,2勝クラス,56.14266939724232
202405050509,2勝クラス,56.66554068689799
202405050510,3勝クラス,73.23460363053456
202405050511,重賞,57.36787010832731
202405050512,1勝クラス,44.3004990344167
202405050601,未勝利,47.336513380033765
202405050602,未勝利,44.74296437458648
202405050603,未勝利,43.813488758678254
202405050606,1勝クラス,50.86974235696651
202405050607,1勝クラス,38.7579077240347
202405050608,1勝クラス,58.46335117536326
202405050609,2勝クラス,57.95237370835311
202405050610,3勝クラス,60.40353368334022
202405050611,OP,67.09074644658124
202405050612,2勝クラス,52.24955306249363
202405050701,未勝利,43.90747329165741
202405050702,未勝利,49.16166539066491
202405050703,未勝利,48.280803281939896
202405050706,1勝クラス,49.40527582023085
202405050707,1勝クラス,49.230443865956595
202405050708,2勝クラス,59.56414624322848
202405050709,OP,56.86265693398281
202405050710,3勝クラス,71.2035339006449
202405050711,OP,69.5438053120248
202405050712,2勝クラス,55.34787410095467
202405050801,未勝利,46.34109760050037
202405050802,未勝利,44.66297303433303
202405050803,未勝利,55.241864361537914
202405050804,未勝利,44.46978407348406
202405050807,1勝クラス,48.84710907008413
202405050808,1勝クラス,56.195066340782034
202405050809,2勝クラス,59.92452939275174
202405050810,2勝クラス,59.20301512974776
202405050811,3勝クラス,65.31632007156757
202405050812,重賞,81.45352739980565
202406050101,未勝利,43.25853668702537
202406050102,未勝利,45.872062904000295
202406050103,未勝利,43.592081752983546
202406050104,未勝利,44.469557039096884
202406050107,1勝クラス,45.912574494428505
202406050109,1勝クラス,59.19165368720006
202406050110,2勝クラス,58.96213044358552
202406050111,重賞,67.57043811678827
202406050112,2勝クラス,51.87428118321108
202406050201,未勝利,40.59253311041697
202406050202,未勝利,43.53805064837689
202406050203,未勝利,47.02029678401347
202406050206,1勝クラス,54.496025007557215
202406050207,1勝クラス,48.18745850680226
202406050208,2勝クラス,55.08681835213066
202406050209,3勝クラス,56.71416848393268
202406050210,3勝クラス,64.62231644166127
202406050211,OP,68.16905817086763
202406050212,2勝クラス,55.976828574375936
202406050301,未勝利,41.7496660740044
202406050302,未勝利,47.09058438198638
202406050303,未勝利,41.87124970505623
202406050304,未勝利,49.97785204251348
202406050307,1勝クラス,42.528233583951334
202406050308,1勝クラス,47.24336477070578
202406050309,1勝クラス,56.83243755459204
202406050310,3勝クラス,60.28247857968208
202406050311,3勝クラス,60.37258920298347
202406050312,2勝クラス,60.86245616454008
202406050401,未勝利,42.92658538286474
202406050402,未勝利,44.455666358098064
202406050403,未勝利,47.22495867477031
202406050407,1勝クラス,58.1839642608069
202406050408,1勝クラス,41.35065749808008
202406050409,2勝クラス,50.87945898833948
202406050410,OP,77.9148148391549
202406050411,重賞,77.00054195233412
202406050412,2勝クラス,54.589169924102414
202406050501,未勝利,48.956632960923045
202406050502,未勝利,44.09921104836539
202406050503,未勝利,43.0721626721198
202406050504,未勝利,44.43819453194826
202406050507,未勝利,47.32578025887557
202406050508,1勝クラス,46.22910406537339
202406050509,1勝クラス,55.931530776876016
202406050510,2勝クラス,52.85010768626314
202406050511,重賞,70.807761856904
202406050512,2勝クラス,55.704238727463455
202406050601,未勝利,43.91838823289102
202406050602,未勝利,45.75068246300918
202406050603,未勝利,44.70162469135542
202406050607,未勝利,45.662934151716
202406050608,1勝クラス,37.41159366219808
202406050609,2勝クラス,58.319784376192594
202406050610,3勝クラス,70.6548925471299
202406050611,OP,67.87909188943118
202406050612,1勝クラス,44.888074381028225
202406050701,未勝利,45.22649002838014
202406050702,未勝利,48.46490763835315
202406050703,未勝利,45.64830028992664
202406050704,未勝利,44.284237494166355
202406050707,1勝クラス,54.49855657148888
202406050708,1勝クラス,41.33978185048025
202406050709,1勝クラス,43.25622043173218
202406050711,3勝クラス,59.96300766812838
202406050712,2勝クラス,52.09878737517675
202406050801,未勝利,44.85848615555967
202406050802,未勝利,49.76523469625551
202406050803,未勝利,44.91585684535764
202406050804,未勝利,44.42694677758181
202406050807,1勝クラス,49.95415953705087
202406050808,2勝クラス,55.63899547175003
202406050809,2勝クラス,55.596181646070235
202406050810,2勝クラス,52.88604861255474
202406050811,重賞,79.22978518633576
202406050812,3勝クラス,60.609079562262295
202406050901,未勝利,47.01838624890199
202406050902,未勝利,46.81166726433332
202406050903,未勝利,46.78857394995184
202406050904,未勝利,45.52921394422527
202406050907,1勝クラス,48.7669570962966
202406050908,1勝クラス,45.456635514301986
202406050909,2勝クラス,54.30068356248936
202406050910,2勝クラス,62.17055582984233
202406050911,重賞,65.50502910241096
202406050912,3勝クラス,61.853532134188356
202407040101,未勝利,44.01641361389575
202407040102,1勝クラス,41.79819696550932
202407040103,1勝クラス,46.03147155301093
202407040104,未勝利,46.670183884756256
202407040106,1勝クラス,43.24934631948507
202407040107,1勝クラス,45.03746048131163
202407040108,1勝クラス,45.66460174518073
202407040109,2勝クラス,59.37241162890493
202407040110,2勝クラス,50.3020070118282
202407040111,3勝クラス,61.13281874291978
202407040112,1勝クラス,44.9165662917253
202407040201,未勝利,44.81302367828773
202407040202,1勝クラス,43.40788244353169
202407040203,1勝クラス,44.412878866083304
202407040204,未勝利,41.9314496200565
202407040205,未勝利,44.06271836753169
202407040206,1勝クラス,40.34284908472109
202407040207,1勝クラス,41.15522045344177
202407040208,1勝クラス,43.869391556802704
202407040209,1勝クラス,62.81242422748171
202407040210,2勝クラス,55.23731190458829
202407040211,重賞,86.22508072638138
202407040212,1勝クラス,42.65461601993428
202407040301,未勝利,45.34096172942166
202407040302,1勝クラス,42.074534662225965
202407040303,1勝クラス,45.66362259657242
202407040304,未勝利,42.87069899845255
202407040306,1勝クラス,49.457706948370266
202407040307,1勝クラス,42.11932088048574
202407040308,1勝クラス,45.220454523683514
202407040309,1勝クラス,60.08951951182401
202407040310,2勝クラス,58.90094229922242
202407040311,重賞,73.05812931899081
202407040312,1勝クラス,44.14361828878599
202407040401,未勝利,43.22514580387032
202407040402,未勝利,41.49772809088736
202407040403,1勝クラス,40.27631469805583
202407040404,未勝利,41.1438966868014
202407040406,1勝クラス,46.60034934512687
